Title,Artist,First Charted,Top position,Weeks on chart,Lyrics
Nel Blu Dipinto Di Blu (VolarÃ©),Domenico Modugno ,1958-08-16,1,15,
Susie Darlin',Robin Luke ,1958-08-16,5,17,
Devoted To You,The Everly Brothers ,1958-08-16,10,14,
Alone With You,Faron Young ,1958-08-16,51,5,
Drip Drop,The Drifters ,1958-08-16,58,2,
Lean Jean,Bill Haley And His Comets ,1958-08-16,67,1,
Tears On My Pillow,Little Anthony And The Imperials ,1958-08-16,4,19,
Just Married,Marty Robbins ,1958-08-16,76,1,
Harvey's Got A Girl Friend,Royal Teens ,1958-08-16,78,2,
Looking Back,Nat King Cole ,1958-08-16,82,1,
You're A Sweetheart,Little Willie John ,1958-08-16,66,4,
The Wizard,Jimmie Rodgers ,1958-08-16,45,7,
Moonlight Bay,The Drifters ,1958-08-16,86,1,
Come In Stranger,Johnny Cash And The Tennessee Two ,1958-08-16,87,1,
Cerveza,Boots Brown And His Blockbusters ,1958-08-16,62,8,
La Paloma,Billy Vaughn And His Orchestra ,1958-08-16,26,10,
Midnighter,The Champs ,1958-08-16,94,1,
Chariot Rock,The Champs ,1958-08-16,59,7,
Down In Virginia,Jimmy Reed ,1958-08-16,93,2,
Sunday Barbecue,Tennessee Ernie Ford ,1958-08-16,97,1,
Nothing In The World,Nat King Cole ,1958-08-16,99,1,
It's All In The Game,Tommy Edwards ,1958-09-20,1,22,
Down The Aisle Of Love,The Quin-Tones ,1958-09-20,20,12,
Lazy Summer Night,The Four Preps ,1958-09-20,21,10,
The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two ,1958-09-20,24,11,
How The Time Flies,Jerry Wallace ,1958-09-20,11,16,
Near You,Roger Williams ,1958-09-20,10,17,
Ramrod,Duane Eddy His Twangy Guitar And The Rebels ,1958-09-20,28,8,
Carol,Chuck Berry ,1958-09-20,18,10,
"Summertime, Summertime",The Jamies ,1958-09-20,26,19,
Tea For Two Cha Cha,The Tommy Dorsey Orchestra ,1958-09-20,7,20,
You Cheated,The Shields ,1958-09-20,15,16,
Dance Everyone Dance,Betty Madigan ,1958-09-20,34,9,
No One Knows,Dion & The Belmonts ,1958-09-20,24,16,
Put A Ring On My Finger,Les Paul And Mary Ford ,1958-09-20,32,10,
Firefly,Tony Bennett ,1958-09-20,20,13,
The Green Mosquito,The Tune Rockers ,1958-09-20,44,10,
"Promise Me, Love",Andy Williams ,1958-09-20,17,12,
Topsy II,Cozy Cole ,1958-09-20,3,21,
Treasure Of Your Love,Eileen Rodgers ,1958-09-20,26,15,
My Life,Chuck Willis ,1958-09-20,56,5,
Ten Commandments Of Love,Harvey & The Moonglows ,1958-09-20,22,16,
There Goes My Heart,Joni James ,1958-09-20,19,16,
Over The Weekend,The Playboys ,1958-09-20,62,6,
La-Do-Dada,Dale Hawkins ,1958-09-20,32,12,
It's Only Make Believe,Conway Twitty ,1958-09-20,1,21,
The Secret,Gordon MacRae ,1958-09-20,18,13,
Baby Face,Little Richard ,1958-09-20,41,10,
Break-Up,Jerry Lee Lewis And His Pumping Piano ,1958-09-20,52,5,
Blue Ribbon Baby,Tommy Sands And The Raiders ,1958-09-20,50,11,
My Lucky Love,Doug Franklin with the Bluenotes ,1958-09-20,73,4,
Mexican Hat Rock,The Applejacks ,1958-09-20,16,15,
Count Every Star,The Rivieras ,1958-09-20,73,4,
Where The Blue Of The Night,Tommy Mara ,1958-09-20,76,4,
Fire Of Love,Jody Reynolds ,1958-09-20,66,5,
Big Brown Eyes,The Redjacks ,1958-09-20,84,2,
Gas Money,Jan & Arnie ,1958-09-20,82,2,
Week End,The Kingsmen ,1958-09-20,84,3,
The End,Earl Grant ,1958-09-20,7,19,
The Ballad Of Thunder Road,Robert Mitchum ,1958-09-20,62,21,
Topsy I,Cozy Cole ,1958-09-20,27,13,
Please Don't Do It,Dale Wright And The Wright Guys With the Dons ,1958-09-20,77,5,
Up Until Now,Johnnie Ray ,1958-09-20,81,3,
I Wish,The Platters ,1958-09-20,42,10,
Your Cheatin' Heart,George Hamilton IV ,1958-09-20,72,4,
City Lights,Ray Price ,1958-09-13,71,3,
When Will I Know,George Hamilton IV ,1958-09-13,65,4,
Strange Are The Ways Of Love,Gogi Grant ,1958-09-13,80,3,
I'll Make It All Up To You,Jerry Lee Lewis And His Pumping Piano ,1958-09-13,85,1,
Invitation To The Blues,Ray Price ,1958-09-13,92,1,
Guess I've Been Around Too Long,Carl Smith ,1958-09-13,93,1,
Yes I Want You,Ivory Joe Hunter ,1958-09-13,94,1,
For My Good Fortune,Pat Boone ,1958-09-27,23,11,
Fibbin',Patti Page ,1958-09-27,39,9,
The Day The Rains Came,Jane Morgan ,1958-09-27,21,15,
"Gee, But It's Lonely",Pat Boone ,1958-09-27,31,9,
This Little Girl's Gone Rockin',Ruth Brown ,1958-09-27,24,10,
Nine More Miles (The Faster-Faster Song),Georgie Young ,1958-09-27,58,9,
"Come On, Let's Go",Ritchie Valens ,1958-09-27,42,13,
Hideaway,The Four Esquires ,1958-09-27,21,17,
"Wendy, Wendy",The Four Coins ,1958-09-27,72,3,
Real Wild Child,Ivan ,1958-09-27,68,5,
"To Know Him, Is To Love Him",The Teddy Bears ,1958-09-27,1,23,
Young School Girl,Fats Domino ,1958-09-27,92,1,
Nothin' Shakin',Eddie Fontaine ,1958-09-27,64,3,
We Have Love,Jackie Wilson ,1958-09-27,93,2,
You Got That Touch,Sonny James ,1958-09-27,94,2,
Many A Time,Steve Lawrence ,1958-09-27,97,2,
Itchy Twitchy Feeling,The Swallows ,1958-09-27,100,1,
Tom Dooley,The Kingston Trio ,1958-11-01,1,21,
Forget Me Not,Kalin Twins ,1958-11-01,12,15,
Lonesome Town,Ricky Nelson ,1958-11-01,7,18,
Pussy Cat,The Ames Brothers ,1958-11-01,17,15,
I Got A Feeling,Ricky Nelson ,1958-11-01,10,17,
Queen Of The Hop,Bobby Darin ,1958-11-01,9,19,
Call Me,Johnny Mathis ,1958-11-01,21,15,
With Your Love,Jack Scott ,1958-11-01,28,10,
A Lover's Question,Clyde McPhatter ,1958-11-01,6,24,
Need You,Donnie Owens ,1958-11-01,25,15,
Leave Me Alone (Let Me Cry),Dicky Doo And The Don'ts ,1958-11-01,44,9,
All Over Again,Johnny Cash ,1958-11-01,38,11,
Give Myself A Party,Don Gibson ,1958-11-01,46,10,
The Blob,The Five Blobs ,1958-11-01,33,10,
Poor Boy,The Royaltones ,1958-11-01,17,17,
The Hula Hoop Song,Georgia Gibbs ,1958-11-01,32,5,
The Hula Hoop Song,Teresa Brewer ,1958-11-01,38,5,
Non Dimenticar (Don't Forget),Nat King Cole ,1958-11-01,45,11,
Love Makes The World Go 'Round,Perry Como ,1958-11-01,33,10,
Please Love Me Forever,Tommy Edwards ,1958-11-01,61,3,
Guaglione,Perez Prado And His Orchestra ,1958-11-01,53,9,
Look Who's Blue,Don Gibson ,1958-11-01,58,10,
The Day The Rains Came,Raymond Lefevre and His Orchestra ,1958-11-01,30,9,
A Letter To An Angel,Jimmy Clanton ,1958-11-01,25,12,
I'll Wait For You,Frankie Avalon ,1958-11-01,15,17,
Fallin',Connie Francis ,1958-11-01,30,10,
No One But You (In My Heart),The Ames Brothers ,1958-11-01,45,9,
I'll Remember Tonight,Pat Boone ,1958-11-01,34,11,
Hoopa Hoola,Betty Johnson ,1958-11-01,56,5,
Just Young,Andy Rose ,1958-11-01,69,7,
Walking Along,The Diamonds ,1958-11-01,29,12,
What Do I Care,Johnny Cash ,1958-11-01,52,8,
When I Grow Too Old To Dream,Ed Townsend ,1958-11-01,59,7,
Go Chase A Moonbeam,Jerry Vale ,1958-11-01,60,7,
Cimarron (Roll On),Billy Vaughn And His Orchestra ,1958-11-01,44,10,
Love Is All We Need,Tommy Edwards ,1958-11-01,15,16,
Mr. Success,Frank Sinatra ,1958-11-01,41,11,
Jealous Heart,Tab Hunter ,1958-11-01,62,10,
Mandolins In The Moonlight,Perry Como ,1958-11-01,47,10,
Someday (You'll Want Me To Want You),Jodie Sands ,1958-11-01,95,1,
Big Daddy,Jill Corey ,1958-11-01,96,2,
Tunnel Of Love,Doris Day ,1958-11-01,43,8,
Just Young,Paul Anka ,1958-11-01,80,5,
Beep Beep,The Playmates ,1958-11-08,4,15,
I Got Stung,Elvis Presley ,1958-11-08,8,16,
Light Of Love,Peggy Lee ,1958-11-08,63,6,
The Mocking Bird,The Four Lads ,1958-11-08,32,10,
Cannonball,Duane Eddy His Twangy Guitar And The Rebels ,1958-11-08,15,12,
Dreamy Eyes,Johnny Tillotson ,1958-11-08,35,23,
It's Raining Outside,The Platters ,1958-11-08,93,2,
A Part Of Me,Jimmy Clanton ,1958-11-08,38,7,
That Old Black Magic,Louis Prima And Keely Smith ,1958-11-08,18,13,
One Night,Elvis Presley ,1958-11-15,4,17,
Problems,The Everly Brothers ,1958-11-15,2,15,
Bimbombey,Jimmie Rodgers ,1958-11-15,11,16,
I Want To Be Happy Cha Cha,Enoch Light & The Light Brigade ,1958-11-15,48,7,
Sweet Little Rock And Roller,Chuck Berry ,1958-11-15,47,9,
The World Outside,The Four Coins ,1958-11-15,21,11,
Hold It,Bill Doggett ,1958-11-15,92,1,
Crazy Country Hop,Johnny Otis ,1958-11-15,87,4,
Jealous Heart,The Fontane Sisters ,1958-11-15,94,1,
It Don't Hurt No More,Nappy Brown ,1958-11-15,89,2,
"A House, A Car And A Wedding Ring",Dale Hawkins ,1958-11-15,88,5,
Flamingo L'Amore,The Gaylords ,1958-11-15,98,1,
Almost In Your Arms,Johnny Nash ,1958-11-15,78,4,
White Bucks And Saddle Shoes,"Bobby Pedrick, Jr. ",1958-11-15,74,4,
Borrowed Dreams,Bobby Helms ,1958-08-23,60,2,
Straighten Up & Fly Right,DeJohn Sisters ,1958-08-23,73,2,
Devotion,Janice Harper ,1958-08-23,82,3,
Ma Ma Ma Marie,The Gaylords ,1958-08-23,97,1,
Who Are They To Say,The DeCastro Sisters ,1958-08-23,99,1,
Going To Chicago Blues,Count Basie & His Orch. ,1958-08-23,100,1,
Pledging My Love,Roy Hamilton ,1958-11-22,45,12,
Love You Most Of All,Sam Cooke ,1958-11-22,26,16,
Philadelphia U.S.A.,The Nu Tornados ,1958-11-22,26,12,
Whole Lotta Loving,Fats Domino ,1958-11-22,6,15,
Smoke Gets In Your Eyes,The Platters ,1958-11-22,1,19,
Joe Joe Gunne,Chuck Berry ,1958-11-22,83,5,
Cinderella,The Four Preps ,1958-11-22,69,7,
Coquette,Fats Domino ,1958-11-22,92,1,
Everyone Was There,Bob Kayli ,1958-11-22,96,2,
Lonely Teardrops,Jackie Wilson ,1958-12-06,7,21,
Gotta Travel On,Billy Grammer ,1958-12-06,4,20,
Love Of My Life,The Everly Brothers ,1958-12-06,40,6,
Sing Sing Sing,Bernie Lowe Orchestra ,1958-12-06,46,7,
Need Your Love,Bobby Freeman ,1958-12-06,54,5,
Intermission Riff,Bernie Lowe Orchestra ,1958-12-06,61,4,
The Chipmunk Song,The Chipmunks With David Seville ,1958-12-06,1,13,
Turvy II,Cozy Cole ,1958-12-06,36,8,
Nobody But You,Dee Clark ,1958-12-06,21,17,
Donna,Ritchie Valens ,1958-12-06,2,23,
16 Candles,The Crests ,1958-12-06,2,21,
C'mon Everybody,Eddie Cochran ,1958-12-06,35,12,
The World Outside,The Four Aces ,1958-12-06,63,4,
The Wedding,June Valli ,1958-12-06,43,13,
The Teen Commandments,Paul Anka-Geo. Hamilton IV-Johnny Nash ,1958-12-06,29,8,
Little Red Riding Hood,Big Bopper ,1958-12-06,72,4,
I Want To Be Happy Cha Cha,The Tommy Dorsey Orchestra Starring Warren Covington ,1958-12-06,70,3,
"A House, A Car And A Wedding Ring",Mike Preston ,1958-12-06,93,1,
Sweetheart,Peggy Lee ,1958-12-06,98,2,
Seven Minutes In Heaven,Poni-Tails ,1958-12-06,85,3,
My Happiness,Connie Francis ,1958-12-20,2,18,
Peek-A-Boo,The Cadillacs ,1958-12-20,28,10,
Big Bopper's Wedding,Big Bopper ,1958-12-20,38,7,
The Diary,Neil Sedaka ,1958-12-20,14,15,
Manhattan Spiritual,Reg Owen & His Orchestra ,1958-12-20,10,16,
Â¿DÃ²nde EstÃ  Santa Claus? (Where Is Santa Claus?),Augie Rios ,1958-12-20,47,4,
The World Outside,Roger Williams ,1958-12-20,71,3,
Come Prima,Tony Dallara ,1958-12-20,60,7,
I Cried A Tear,LaVern Baker ,1958-12-20,6,21,
Stagger Lee,Lloyd Price ,1958-12-20,1,21,
It's Just About Time,Johnny Cash And The Tennessee Two ,1958-12-20,47,7,
Try Me,James Brown And The Famous Flames ,1958-12-20,48,13,
Goodbye Baby,Jack Scott ,1958-12-20,8,16,
Run Rudolph Run,Chuck Berry ,1958-12-20,69,3,
I Just Thought You'd Like To Know,Johnny Cash And The Tennessee Two ,1958-12-20,85,1,
Diamond Ring,Jerry Wallace ,1958-12-20,78,4,
Merry Christmas Baby,Chuck Berry ,1958-12-20,71,3,
The Fool And The Angel,Bobby Helms ,1958-12-20,75,6,
Philadelphia U.S.A.,Art Lund ,1958-12-20,89,3,
Pretty Girls Everywhere,Eugene Church and The Fellows ,1958-12-20,36,15,
